X.U.FEFF.no,chemical.name,type,chemical.smiles,log.rate.exp,Log.rate.pred,r1.taft.smiles,r1.taft.sub.smiles,r1.taft.mcs.index,r1.es.smiles,r1.es.sub.smiles,r1.es.mcs.index,r1.ind.smiles,r1.ind.sub.smiles,r1.ind.mcs.index,r1.meta1.smiles,r1.meta1.sub.smiles,r1.meta1.mcs.index,r1.meta2.smiles,r1.meta2.sub.smiles,r1.meta2.mcs.index,r1.ortho1.smiles,r1.ortho1.sub.smiles,r1.ortho1.mcs.index,r1.ortho2.smiles,r1.ortho2.sub.smiles,r1.ortho2.mcs.index,r1.para1.smiles,r1.para1.sub.smiles,r1.para1.mcs.index,r2.taft.smiles,r2.taft.sub.smiles,r2.taft.mcs.index,r2.es.smiles,r2.es.sub.smiles,r2.es.mcs.index,r2.ind.smiles,r2.ind.sub.smiles,r2.ind.mcs.index,r2.meta1.smiles,r2.meta1.sub.smiles,r2.meta1.mcs.index,r2.meta2.smiles,r2.meta2.sub.smiles,r2.meta2.mcs.index,r2.ortho1.smiles,r2.ortho1.sub.smiles,r2.ortho1.mcs.index,r2.ortho2.smiles,r2.ortho2.sub.smiles,r2.ortho2.mcs.index,r2.para1.smiles,r2.para1.sub.smiles,r2.para1.mcs.index,r1.taft.value,r1.es.value,r1.ind.value,r1.meta1.value,r1.meta2.value,r1.ortho1.value,r1.ortho2.value,r1.para1.value,r1.hammett.value,r2.taft.value,r2.es.value,r2.ind.value,r2.meta1.value,r2.meta2.value,r2.ortho1.value,r2.ortho2.value,r2.para1.value,r2.hammett.value
1,NA,NA,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,50.9,NA,*C1=CC=CC=C1,*C1=CC=CC=C1,1,*C1=CC=CC=C1,*C1=CC=CC=C1,1,*C1=CC=CC=C1,*C1=CC=CC=C1,1,NA,NA,NA,NA,NA,NA,CCCCC(CC)COC(*)=O,CCCOC*,0.5,NA,NA,NA,NA,NA,NA,CCCCC(CC)C*,CCCCCC*,0.777777778,CCCCC(CC)C*,CCCCCC*,0.777777778,CCCCC(CC)C*,CCCCCC*,0.777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,-2.92,0.12,NA,NA,-0.34,NA,NA,NA,-0.6,-1.54,-0.04,NA,NA,NA,NA,NA,NA
2,NA,NA,CC1(C)C(C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)C1(C)C,NA,NA,CC1(C)C(*)C1(C)C,CC(C)C(C)(C)*,0.666666667,CC1(C)C(*)C1(C)C,CC(C)C(C)(C)*,0.666666667,CC1(C)C(*)C1(C)C,CC(C)C*,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*C(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,CC(*)C1=CC=CC=C1,0.529411765,*C(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,CC(*)C1=CC=CC=C1,0.529411765,*C(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,CC(*)C1=CC=CC=C1,0.529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49,-4.6,0,NA,NA,NA,NA,NA,NA,-0.29,-2.15,0.07,NA,NA,NA,NA,NA,NA
3,NA,NA,CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,NA,NA,OC(*)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,*C(C1=CC=CC=C1)C1=CC=CC=C1,0.823529412,OC(*)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,*C(C1=CC=CC=C1)C1=CC=CC=C1,0.823529412,OC(*)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,*C(C1=CC=CC=C1)C1=CC=CC=C1,0.823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC*,CC*,1,CC*,CC*,1,CC*,CC*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-2.72,0.19,NA,NA,NA,NA,NA,NA,-0.56,-1.34,-0.02,NA,NA,NA,NA,NA,NA
4,NA,NA,COC(=O)c1cc(ccc1Cl)Cl,0.0135,NA,*C1=CC=CC=C1,*C1=CC=CC=C1,1,*C1=CC=CC=C1,*C1=CC=CC=C1,1,*C1=CC=CC=C1,*C1=CC=CC=C1,1,Cl*,Cl*,1,NA,NA,NA,Cl*,Cl*,1,NA,NA,NA,NA,NA,NA,C*,C*,1,C*,C*,1,C*,C*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,-2.92,0.12,0.35,NA,0.8,NA,NA,NA,-0.49,-1.18,-0.04,NA,NA,NA,NA,NA,NA
5,NA,NA,[H][C@](C)(OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1)C(=O)OCCON=C(C)C,1.49,NA,CC(*)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1,COC1=CC=C(OC*)C=C1,0.5,CC(*)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1,*COC1=CC=CC=C1,0.409090909,CC(*)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1,*COC1=CC=CC=C1,0.409090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC(C)=NOCC*,CC(C)=NO*,0.555555556,CC(C)=NOCC*,COCC*,0.444444444,CC(C)=NOCC*,CC(C)=NO*,0.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,-1.57,0.12,NA,NA,NA,NA,NA,NA,1.32,-1.95,0.29,NA,NA,NA,NA,NA,NA
6,NA,NA,CCOC(=O)C1CC(=O)C(=C(C2CC2)O)C(=O)C1,0.11,NA,OC(C1CC1)=C1C(=O)CC(*)CC1=O,*C1CCCCC1,0.5,OC(C1CC1)=C1C(=O)CC(*)CC1=O,*C1CCCCC1,0.5,OC(C1CC1)=C1C(=O)CC(*)CC1=O,*C1CCCCC1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC*,CC*,1,CC*,CC*,1,CC*,CC*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67,-2.13,-0.02,NA,NA,NA,NA,NA,NA,-0.56,-1.34,-0.02,NA,NA,NA,NA,NA,NA
7,NA,NA,CC(C(=O)OC)Oc1ccc(cc1)Oc2ccc(cc2Cl)Cl,1.54,NA,CC(*)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,COC1=CC=C(OC*)C=C1,0.578947368,CC(*)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,*COC1=CC=CC=C1,0.473684211,CC(*)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,*COC1=CC=CC=C1,0.473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C*,C*,1,C*,C*,1,C*,C*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,-1.57,0.12,NA,NA,NA,NA,NA,NA,-0.49,-1.18,-0.04,NA,NA,NA,NA,NA,NA
8,NA,NA,CCCCCCC(C)OC(=O)COc1c(c(c(c(n1)F)Cl)N)Cl,0.249,NA,NC1=C(Cl)C(F)=NC(OC*)=C1Cl,*COC1=CC=CC=C1,0.571428571,NC1=C(Cl)C(F)=NC(OC*)=C1Cl,*COC1=CC=CC=C1,0.571428571,NC1=C(Cl)C(F)=NC(OC*)=C1Cl,*COC1=CC=CC=C1,0.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCCCCCC(C)*,CCCCCCC(C)*,1,CCCCCCC(C)*,CCCCCCC(C)*,1,CCCCCCC(C)*,CCCCCCC*,0.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,-1.57,0.12,NA,NA,NA,NA,NA,NA,-0.46,-2.1,-0.05,NA,NA,NA,NA,NA,NA
9,NA,NA,Cc1ccccc1OCc2ccccc2/C(=N/OC)/C(=O)OC,2.77,NA,CO\N=C(/*)C1=CC=CC=C1COC1=CC=CC=C1C,*CC(=O)OC1=CC=CC=C1,0.409090909,CO\N=C(/*)C1=CC=CC=C1COC1=CC=CC=C1C,*CC1=CC=CC=C1,0.4,CO\N=C(/*)C1=CC=CC=C1COC1=CC=CC=C1C,*CC1=CC=CC=C1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C*,C*,1,C*,C*,1,C*,C*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,-1.64,0.03,NA,NA,NA,NA,NA,NA,-0.49,-1.18,-0.04,NA,NA,NA,NA,NA,NA
10,NA,NA,COC(=O)CC(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1,0.193,NA,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C*)C1=CC=C(Cl)C=C1,*CCC1=CC=CC=C1,0.375,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C*)C1=CC=C(Cl)C=C1,*CCC1=CC=CC=C1,0.375,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C*)C1=CC=C(Cl)C=C1,*CCC1=CC=CC=C1,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C*,C*,1,C*,C*,1,C*,C*,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46,-1.66,0.02,NA,NA,NA,NA,NA,NA,-0.49,-1.18,-0.04,NA,NA,NA,NA,NA,NA
