no,chemical.name,type,chemical.smiles,log.rate.exp,Log.rate.pred,r1.taft.smiles,r1.taft.sub.smiles,r1.taft.mcs.index,r1.es.smiles,r1.es.sub.smiles,r1.es.mcs.index,r1.ind.smiles,r1.ind.sub.smiles,r1.ind.mcs.index,r1.meta1.smiles,r1.meta1.sub.smiles,r1.meta1.mcs.index,r1.meta2.smiles,r1.meta2.sub.smiles,r1.meta2.mcs.index,r1.ortho1.smiles,r1.ortho1.sub.smiles,r1.ortho1.mcs.index,r1.ortho2.smiles,r1.ortho2.sub.smiles,r1.ortho2.mcs.index,r1.para1.smiles,r1.para1.sub.smiles,r1.para1.mcs.index,r2.taft.smiles,r2.taft.sub.smiles,r2.taft.mcs.index,r2.es.smiles,r2.es.sub.smiles,r2.es.mcs.index,r2.ind.smiles,r2.ind.sub.smiles,r2.ind.mcs.index,r2.meta1.smiles,r2.meta1.sub.smiles,r2.meta1.mcs.index,r2.meta2.smiles,r2.meta2.sub.smiles,r2.meta2.mcs.index,r2.ortho1.smiles,r2.ortho1.sub.smiles,r2.ortho1.mcs.index,r2.ortho2.smiles,r2.ortho2.sub.smiles,r2.ortho2.mcs.index,r2.para1.smiles,r2.para1.sub.smiles,r2.para1.mcs.index,r1.taft.value,r1.es.value,r1.ind.value,r1.meta1.value,r1.meta2.value,r1.ortho1.value,r1.ortho2.value,r1.para1.value,r1.hammett.value,r2.taft.value,r2.es.value,r2.ind.value,r2.meta1.value,r2.meta2.value,r2.ortho1.value,r2.ortho2.value,r2.para1.value,r2.hammett.value
2,H-C(=O)O-CH3,acidester,COC=O,36.6,,*[H],,,,,,,,,,,,,,,,,,,,,,,,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,H-C(=O)O-Et,acidester,CCOC=O,25.7,,*[H],,,,,,,,,,,,,,,,,,,,,,,,CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,H-C(=O)O-n-Pr,acidester,[H]C(=O)OCCC,22.8,,*[H],,,,,,,,,,,,,,,,,,,,,,,,CCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,H-C(=O)O-n-Bu,acidester,[H]C(=O)OCCCC,21.8,,*[H],,,,,,,,,,,,,,,,,,,,,,,,CCCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H-C(=O)O-i-Pr,acidester,[H]C(=O)OC(C)C,10.9,,*[H],,,,,,,,,,,,,,,,,,,,,,,,CC(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Me-C(=O)O-Me,acidester,COC(C)=O,0.179,,C*,,,,,,,,,,,,,,,,,,,,,,,,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Me-C(=O)O-Et,acidester,CCOC(C)=O,0.11,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Me-C(=O)O-n-Pr,acidester,CCCOC(C)=O,0.097,,C*,,,,,,,,,,,,,,,,,,,,,,,,CCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Me-C(=O)O-n-Bu,acidester,CCCCOC(C)=O,0.07,,C*,,,,,,,,,,,,,,,,,,,,,,,,CCCC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Me-C(=O)O-i-Pr,acidester,CC(C)OC(C)=O,0.026,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Me-C(=O)O-s-Bu,acidester,CCC(C)OC(C)=O,0.0174,,C*,,,,,,,,,,,,,,,,,,,,,,,,CCC(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Me-C(=O)O-cyclopentyl,acidester,CC(=O)OC1CCCC1,0.026,,C*,,,,,,,,,,,,,,,,,,,,,,,,*C1CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Me-C(=O)O-t-Bu,acidester,CC(=O)OC(C)(C)C,0.0015,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC(C)(C)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Me-C(=O)O-CH=CH2,acidester,CC(=O)OC=C,10.33,,C*,,,,,,,,,,,,,,,,,,,,,,,,*C=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Me-C(=O)O-C(CH3)=CH2,acidester,CC(=C)OC(C)=O,3.01,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC(*)=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Me-C(=O)O-cyclopentenyl,acidester,CC(=O)OC1=CCCC1,0.855,,C*,,,,,,,,,,,,,,,,,,,,,,,,*C1=CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Me-C(=O)O-CH2-CH=CH2,acidester,CC(=O)OCC=C,0.209,,C*,,,,,,,,,,,,,,,,,,,,,,,,*CC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Me-C(=O)O-CH(CH3)-CH=CH2,acidester,CC(OC(C)=O)C=C,0.0717,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC(*)C=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Me-C(=O)O-C(Me)(Et)(CH=CH2),acidester,CCC(C)(OC(C)=O)C=C,0.004,,C*,,,,,,,,,,,,,,,,,,,,,,,,CCC(C)(*)C=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Me-C(=O)O-CH(CH3)-C/CH,acidester,CC(OC(C)=O)C#C,0.365,,C*,,,,,,,,,,,,,,,,,,,,,,,,CC(*)C#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Me-C(=O)O-CH2-Phenyl,acidester,CC(=O)OCC1=CC=CC=C1,0.197,,C*,,,,,,,,,,,,,,,,,,,,,,,,*CC1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
