no,chemical.name,type,chemical.smiles,log.rate.exp,Log.rate.pred,r1.taft.smiles,r1.taft.sub.smiles,r1.taft.mcs.index,r1.es.smiles,r1.es.sub.smiles,r1.es.mcs.index,r1.ind.smiles,r1.ind.sub.smiles,r1.ind.mcs.index,r1.meta1.smiles,r1.meta1.sub.smiles,r1.meta1.mcs.index,r1.meta2.smiles,r1.meta2.sub.smiles,r1.meta2.mcs.index,r1.ortho1.smiles,r1.ortho1.sub.smiles,r1.ortho1.mcs.index,r1.ortho2.smiles,r1.ortho2.sub.smiles,r1.ortho2.mcs.index,r1.para1.smiles,r1.para1.sub.smiles,r1.para1.mcs.index,r2.taft.smiles,r2.taft.sub.smiles,r2.taft.mcs.index,r2.es.smiles,r2.es.sub.smiles,r2.es.mcs.index,r2.ind.smiles,r2.ind.sub.smiles,r2.ind.mcs.index,r2.meta1.smiles,r2.meta1.sub.smiles,r2.meta1.mcs.index,r2.meta2.smiles,r2.meta2.sub.smiles,r2.meta2.mcs.index,r2.ortho1.smiles,r2.ortho1.sub.smiles,r2.ortho1.mcs.index,r2.ortho2.smiles,r2.ortho2.sub.smiles,r2.ortho2.mcs.index,r2.para1.smiles,r2.para1.sub.smiles,r2.para1.mcs.index,r1.taft.value,r1.es.value,r1.ind.value,r1.meta1.value,r1.meta2.value,r1.ortho1.value,r1.ortho2.value,r1.para1.value,r1.hammett.value,r2.taft.value,r2.es.value,r2.ind.value,r2.meta1.value,r2.meta2.value,r2.ortho1.value,r2.ortho2.value,r2.para1.value,r2.hammett.value
1,,carbamate,CC(=O)NC1=CC=CC(Cl)=C1,-4.259637311,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,Cl*,,,,,,,,,,,,,,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,methyl N-phenylcarbamate,carbamate,COC(=O)NC1=CC=CC=C1,-4.259637311,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N-phenyl ethylcarbamate,carbamate,CCOC(=O)NC1=CC=CC=C1,-4.48148606,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,CC*,,,CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"N,O-diphenylcarbamate",carbamate,O=C(NC1=CC=CC=C1)OC1=CC=CC=C1,-0.327902142,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-methoxyphenyl N-phenylcarbamate,carbamate,COC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,1.401400541,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,CO*,,,,,,,,,,,,,,,,,,,,
6,3-chlorophenyl N-phenylcarbamate,carbamate,ClC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1,3.26245109,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,Cl*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4-nitrophenyl N-phenylcarbamate,carbamate,O=C(NC1=CC=CC=C1)OC1=CC=C(C=C1)N(=O)=O,5.432969291,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,*N(=O)=O,,,,,,,,,,,,,,,,,,,,
8,4-nitrophenyl N-methylcarbamate,carbamate,CNC(=O)OC1=CC=C(C=C1)N(=O)=O,-2.522878745,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,*N(=O)=O,,,,,,,,,,,,,,,,,,,,
9,carbaryl,carbamate,CNC(=O)Oc1cccc2c1cccc2,0.71454018,,C*,,,C*,,,,,,,,,,,,,,,,,,,,,*C1=C2C=CC=CC2=CC=C1,,,*C1=C2C=CC=CC2=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2-(diethylamino)ethyl N-phenylcarbamate,carbamate,CCN(CC)CCOC(=O)NC1=CC=CC=C1,-4.585026652,,*C1=CC=CC=C1,,,*C1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,CCN(CC)CC*,,,CCN(CC)CC*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
