no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
1,*[H],H1,0,0,0,0,0,0,0
2,F*,F1,-0.55,0.042426407,-0.52,-0.55,-0.55,-0.505,-0.55
3,Cl*,Cl1,-1.1,0.072571804,-1.07,-1.1,,-1.07,-0.97
4,Br*,Br1,-1.3,0.077172246,-1.266666667,-1.3,,-1.266666667,-1.16
5,I*,I1,-1.62,0.103708995,-1.546666667,-1.62,-1.62,-1.51,-1.62
6,*N(=O)=O,N1O2,-2.4,0.680587981,-1.98,-2.4,,-1.98,-2.52
7,*C#N,C1N1,-0.51,0,-0.51,-0.51,-0.51,-0.51,-0.51
8,C*,C1H3,-1.12,0.06,-1.18,-1.18,-1.24,-1.18,-1.24
9,CC*,C2H5,-1.2,0.154194682,-1.338,-1.31,-1.2,-1.3725,-1.31
10,CCC*,C3H7,-1.43,0.175795336,-1.586,-1.56,-1.43,-1.625,-1.43
11,CCCC*,C4H9,-1.43,0.539683549,-1.375,-1.51,-1.43,-1.364,-1.63
12,CCCCC*,C5H11,-1.43,0.398246155,-1.26,-1.43,,-1.26,-1.64
13,CCCCCC*,C6H13,-1.4,0.114309521,-1.54,-1.54,,-1.54,-1.54
14,CCCCCCC*,C7H15,-1.43,0,-1.43,-1.43,,-1.43,
15,CCCCCCCC*,C8H17,-1.4,0.085,-1.485,-1.485,,-1.485,-1.57
16,CC(C)C*,C4H9,-2.05,0.666843726,-1.808333333,-2.05,-2.05,-1.76,-2.17
17,CC(C)CC*,C5H11,-1.43,0.181482782,-1.622,-1.59,,-1.622,-1.44
18,CC(C)(C)CC*,C6H13,-1.4,0.075865378,-1.476666667,-1.45,,-1.476666667,-1.45
19,CC(C)CCC*,C6H13,-1.4,0.138631706,-1.5525,-1.55,,-1.5525,
20,CC(C)(C)C*,C5H11,-2.7,0.233130865,-2.93,-2.865,,-2.93,-2.75
21,*CC1=CC=CC=C1,C7H7,-1.5,0.143952153,-1.643333333,-1.615,,-1.643333333,-1.51
22,*CC1CCCCC1,C7H12,-2,0.10143416,-2.076666667,-2.01,,-2.076666667,-2.22
23,*CCC1=CC=CC=C1,C8H9,-1.5,0.174974284,-1.662,-1.62,,-1.662,-1.47
24,*C1=CC=CO1,C4H3O1,-1.46,1.135,-2.595,-2.595,,-2.595,-3.73
25,*C1=COC=C1,C4H3O1,-1.86,0,-1.86,-1.86,,-1.86,
26,*CC=C,C3H5,-1.4,0.015,-1.415,-1.415,,-1.415,-1.43
27,*CCC=C,C4H7,-1.5,0,-1.5,-1.5,,-1.5,
28,*C#C,C3H3,-2.1,0,-2.1,-2.1,,-2.1,
29,OC*,C1H3O1,-1.1,0.054365021,-1.133333333,-1.1,,-1.133333333,-1.21
30,NOC*,C1H4N1O1,-1.1,0,-1.1,-1.1,,-1.1,
31,COC*,C1H5O1,-1.31,0.06,-1.37,-1.37,,-1.37,-1.43
32,CCOC*,C3H7O1,-1.49,0.056568542,-1.53,-1.49,-1.49,-1.55,-1.49
