"","smiles","HT.type","sigma.selection","sub.smiles","tanimoto","index","value"
"1","*C1=CC=CC=C1","taft","A","*C1=CC=CC=C1",1,182,0.16
"2","*C1=CC=CC=C1","taft","B","*C1=CC=CC=C1",1,182,0.26
"3","*C1=CC=CC=C1","taft","C","*C1=CC=CC=C1",1,182,0.26
"4","*C1=CC=CC=C1","taft","D","*C1=CC=CC=C1",1,182,0.26
"5","*C1=CC=CC=C1","taft","E","*C1=CC=CC=C1",1,182,0.17
"6","*C1=CC=CC=C1","taft","F","*C1=CC=CC=C1",1,182,0.11
"7","*C1=CC=CC=C1","taft","G","*C1=CC=CC=C1",1,182,0.26
"8","*C1=CC=CC=C1","taft","H","*C1=CC=CC=C1",1,182,0.11
"9","*C1=CC=CC=C1","es","A","*C1=CC=CC=C1",1,182,-2.92
"10","*C1=CC=CC=C1","es","B","*C1=CC=CC=C1",1,182,-3.4
"11","*C1=CC=CC=C1","es","C","*C1=CC=CC=C1",1,182,-3.4
"12","*C1=CC=CC=C1","es","D","*C1=CC=CC=C1",1,182,-3.4
"13","*C1=CC=CC=C1","es","E","*C1=CC=CC=C1",1,182,-2.92
"14","*C1=CC=CC=C1","es","F","*C1=CC=CC=C1",1,182,-3.42
"15","*C1=CC=CC=C1","es","G","*C1=CC=CC=C1",1,182,-3.4
"16","*C1=CC=CC=C1","es","H","*C1=CC=CC=C1",1,182,-2.92
"17","*C1=CC=CC=C1","inductive","A","*C1=CC=CC=C1",1,182,0.12
"18","*C1=CC=CC=C1","inductive","B","*C1=CC=CC=C1",1,182,0.12
"19","*C1=CC=CC=C1","inductive","C","*C1=CC=CC=C1",1,182,0.12
"20","*C1=CC=CC=C1","inductive","D","*C1=CC=CC=C1",1,182,0.13
"21","*C1=CC=CC=C1","inductive","E","*C1=CC=CC=C1",1,182,0.12
"22","*C1=CC=CC=C1","inductive","F","*C1=CC=CC=C1",1,182,0.12
"23","*C1=CC=CC=C1","inductive","G","*C1=CC=CC=C1",1,182,0.12
"24","*C1=CC=CC=C1","inductive","H","*C1=CC=CC=C1",1,182,0.08
