ID,log.rate.exp,r1.taft.value,r1.es.value,r2.taft.value,r2.es.value,r2.hammett.value
1,1.563481085,0,1,-0.49,-1.18,0
2,1.409933123,0,0,-0.56,-1.34,0
3,1.357934847,0,0,-0.63,-1.59,0
4,1.338456494,0,0,-0.62,-1.38,0
5,1.037426498,0,0,-0.65,-1.62,0
6,-0.747146969,-0.49,-1.18,-0.49,-1.18,0
7,-0.958607315,-0.49,-1.18,-0.56,-1.34,0
8,-1.013228266,-0.49,-1.18,-0.63,-1.59,0
9,-1.15490196,-0.49,-1.18,-0.62,-1.38,0
10,-1.585026652,-0.49,-1.18,-0.65,-1.62,0
11,-1.759450752,-0.49,-1.18,-0.64,-2.36,0
12,-1.585026652,-0.49,-1.18,-0.59,-1.59,0
13,-2.823908741,-0.49,-1.18,-0.74,-2.93,0
14,1.014100322,-0.49,-1.18,0.04,-3.15,0
15,0.478566496,-0.49,-1.18,0.02,-4.1,0
16,-0.068033885,-0.49,-1.18,-0.62,-1.38,0
17,-0.679853714,-0.49,-1.18,-0.33,-1.42,0
18,-1.144480844,-0.49,-1.18,-0.37,-2.5,0
19,-2.397940009,-0.49,-1.18,-0.8,-3.4,0
20,-0.437707136,-0.49,-1.18,0.03,-3.2,0
21,-0.705533774,-0.49,-1.18,-0.26,-1.64,0
22,0.136720567,-0.49,-1.18,0.16,-2.92,0
23,3.653212514,1.55,-1.6,-0.56,-1.34,0
24,-0.036212173,0.05,-1.54,-0.56,-1.34,0
25,0.62324929,0.84,-2.4,-0.56,-1.34,0
26,1.10720997,0.85,-2.65,-0.56,-1.34,0
27,1.480006943,0.38,-1.57,-0.56,-1.34,0
28,1.238046103,0.38,-1.57,-0.49,-1.18,0
29,-1.060480747,-0.56,-1.34,-0.56,-1.34,0
30,-1.420216403,-0.63,-1.59,-0.56,-1.34,0
31,-1.638272164,-0.65,-1.62,-0.56,-1.34,0
32,-0.853871964,0.04,-3.15,-0.49,-1.18,0
33,-1.122053048,0.04,-3.15,-0.56,-1.34,0
34,-1.27572413,0.04,-3.15,-0.62,-1.38,0
35,-0.124938737,0.04,-3.15,0.16,-2.92,0
36,0.257678575,0.04,-3.15,0.16,-2.92,0.23
37,0.553883027,0.04,-3.15,0.16,-2.92,0.48
38,0.748962861,0.04,-3.15,0.16,-2.92,-0.04
39,0.942008053,0.04,-3.15,0.16,-2.92,-0.34
40,-1.552841969,-0.13,-3.2,-0.49,-1.18,0
41,-1.552841969,-0.13,-3.2,-0.49,-1.18,0
42,-1.866461092,-0.13,-3.2,-0.56,-1.34,0
43,-1.835647144,-0.13,-3.2,-0.56,-1.34,0
44,-1.229147988,0.02,-4.1,-0.49,-1.18,0
45,-2.26760624,-0.25,-3.2,-0.49,-1.18,0
46,0.650307523,0.63,-3.2,-0.56,-1.34,0
47,-0.390405591,0.63,-3.2,-0.56,-1.34,0
48,-1.910094889,-0.13,-3.2,-0.63,-1.59,0
49,-2.408935393,-0.13,-3.2,-0.65,-1.62,0
50,-1.954677021,-0.13,-3.2,-0.62,-1.38,0
51,-1.991399828,-0.13,-3.2,-0.62,-1.81,0
52,-2.638272164,-0.13,-3.2,-0.64,-2.36,0
53,-2.004364805,-0.13,-3.2,-0.48,-1.38,0
54,0.670245853,0.23,-2.1,-0.56,-1.34,0
55,-0.245651664,0.81,-3.29,-0.56,-1.34,0
56,-1.522878745,0.16,-2.92,-0.56,-1.34,0
57,-2.207608311,0.16,-2.92,-0.65,-1.62,0
58,-1.508638306,0,-0.88,-0.49,-1.18,0
59,-1.769551079,0,-0.88,-0.56,-1.34,0
60,-2.585026652,0,-0.88,-0.65,-1.62,0
61,0.064457989,0,-0.88,0.16,-2.92,-0.34
62,-0.991399828,0,-0.88,0.16,-2.92,-0.28
63,-1.113509275,0,-0.88,-0.49,-1.18,0
64,-2.463441557,0,-0.88,-0.56,-1.34,0
65,-3.228412519,0,-0.88,-0.65,-1.62,0
66,0.173186268,0.31,-1.57,1.32,-1.95,0
67,-0.958607315,-0.67,-2.13,-0.56,-1.34,0
68,0.187520721,0.31,-1.57,-0.49,-1.18,0
69,-0.603800653,0.38,-1.57,-0.46,-2.1,0
70,0.442479769,0.32,-1.64,-0.49,-1.18,0
