no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
1,*[H],H1,,0,0,0,0,0,0
2,F*,F1,,0.119369175,0.529,0.5,0.5,0.53625,0.52
3,Cl*,Cl1,,0.038078866,0.48,0.47,0.46,0.4875,0.47
4,Br*,Br1,,0.07321885,0.493,0.46,0.44,0.521666667,
5,I*,I1,,0.093701654,0.45,0.41,0.39,0.474285714,0.39
6,*N(=O)=O,N1O2,,0.049593388,0.643636364,0.65,0.65,0.64,0.64
7,*C#N,C1N1,,0.098242204,0.533571429,0.56,0.56,0.529,0.53
8,C*,C1H3,,0.045544545,-0.035833333,-0.04,-0.04,-0.035,-0.04
9,CC*,C2H5,,0.046188022,-0.02,-0.025,,-0.02,-0.01
10,CCC*,C3H7,,0.045460606,-0.06,-0.05,,-0.06,-0.01
11,CCCC*,C4H9,,0.020548047,-0.036666667,-0.04,,-0.036666667,-0.04
12,CCCCC*,C5H11,,0.015,-0.045,-0.045,,-0.045,-0.03
13,CCCCCC*,C6H13,,0,-0.04,-0.04,,-0.04,-0.04
14,CCCCCCC*,C7H15,,0.01,-0.05,-0.05,,-0.05,-0.04
16,CC(C)C*,C4H9,,0.06041523,0,-0.02,,3.47E-18,-0.03
17,CC(C)CC*,C5H11,,0,-0.03,-0.03,,-0.03,-0.03
20,CC(C)(C)C*,C5H11,,0.031874755,-0.038,-0.05,-0.07,-0.04,
21,*CC1=CC=CC=C1,C7H7,,0.066151342,0.028,0.03,,0.028,-0.08
22,*CC1CCCCC1,C7H12,,0,-0.03,-0.03,,-0.03,
23,*CCC1=CC=CC=C1,C8H9,,0,0.02,0.02,,0.02,0.02
24,*CC1=CC=CO1,C5H5O1,,0,0.6,0.6,,0.6,
26,*CC=C,C3H5,,0.038971143,0.0175,0.02,0.02,0.016666667,0.02
28,*C#C,C3H3,,0,0.14,0.14,,0.14,0.14
29,OC*,C1H3O1,,0.026246693,0.086666667,0.1,,0.086666667,0.11
31,COC*,C1H5O1,,0.049180789,0.0675,0.085,0.11,0.053333333,0.11
33,CC(=O)OC*,C3H5O2,,0.005,0.155,0.155,,0.155,0.15
34,COCC*,C3H7O1,,0,0,0,,0,
35,CC(O)C*,C2H7O1,,0,0.03,0.03,,0.03,0.03
36,FC*,C1H2F1,,0.031446604,0.146666667,0.13,0.12,0.1575,0.12
37,ClC*,C1H2Cl1,,0.035601343,0.163076923,0.16,0.17,0.164444444,0.17
38,BrC*,C1H2Br1,,0.069804923,0.2,0.18,0.16,0.206666667,0.12
39,IC*,C1H2I1,,0.095742711,0.2,0.175,,0.2,0.17
40,ClCC*,C2H4Cl1,,0.038586123,0.033333333,0.05,,0.033333333,-0.02
43,BrCC*,C2H4Br1,,0,0.05,0.05,,0.05,
46,ClC(Cl)(Cl)C*,C2H2Cl3,,0.055,0.085,0.085,,0.085,0.14
47,FC(F)(F)C*,C2H2F3,,0.052440442,0.12,0.145,,0.12,0.16
