no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
1,*[H],H1,0,0,0,0,0,0,0
2,F*,F1,0.34,0.119026665,0.284285714,0.34,0.34,0.2425,0.34
3,Cl*,Cl1,0.37,0.028,0.354,0.37,0.37,0.352,0.37
4,Br*,Br1,0.37,0.214732867,0.474285714,0.39,0.39,0.586666667,0.39
5,I*,I1,0.35,0.061122827,0.378,0.35,0.35,0.396666667,0.35
6,*N(=O)=O,N1O2,0.74,0.976615471,1.04,0.71,0.74,1.13,0.71
7,*C#N,C1N1,0.62,0.045704364,0.613333333,0.62,0.62,0.606666667,
8,C*,C1H3,-0.06,0.118644609,-0.121111111,-0.07,-0.1,-0.138571429,-0.07
9,CC*,C2H5,-0.07,0.177380946,-0.146,-0.07,-0.07,-0.165,-0.07
10,CCC*,C3H7,-0.05,0.004714045,-0.053333333,-0.05,-0.05,-0.055,-0.06
11,CCCC*,C4H9,-0.07,0.004714045,-0.073333333,-0.07,-0.07,-0.075,-0.08
12,CCCCC*,C5H11,-0.08,0,-0.08,-0.08,-0.08,-0.08,-0.08
13,CCCCCC*,C6H13,-0.16,0,-0.16,-0.16,-0.16,-0.16,-0.16
14,CCCCCCC*,C7H15,-0.19,0.056568542,-0.15,-0.19,-0.19,-0.13,-0.07
15,CCCCCCCC*,C8H17,-0.19,0,-0.19,-0.19,,-0.19,
16,CC(C)C*,C4H9,-0.07,0,-0.07,-0.07,-0.07,-0.07,-0.07
17,CC(C)CC*,C5H11,-0.07,0,-0.07,-0.07,,-0.07,
18,CC(C)(C)CC*,C6H13,-0.07,0,-0.07,-0.07,,-0.07,
19,CC(C)CCC*,C6H13,-0.09,0,-0.09,-0.09,,-0.09,
20,CC(C)(C)C*,C5H11,-0.13,0.108730043,-0.016666667,-0.05,,-0.016666667,-0.05
21,*CC1=CC=CC=C1,C7H7,-0.08,0.032998316,-0.056666667,-0.08,-0.08,-0.045,-0.08
22,*CC1CCCCC1,C7H12,-0.09,0.13,0.04,0.04,,0.04,0.17
23,*CCC1=CC=CC=C1,C8H9,-0.07,0,-0.07,-0.07,-0.07,-0.07,-0.07
24,*C1=CC=CO1,C4H3O1,-0.08,0,-0.08,-0.08,,-0.08,
25,*C1=COC=C1,C4H3O1,0.01,0.162111073,0.19,0.25,,0.19,0.25
26,*CC=C,C3H5,-0.11,0,-0.11,-0.11,-0.11,-0.11,-0.11
27,*CCC=C,C4H7,-0.07,0,-0.07,-0.07,,-0.07,
