no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
1,*[H],H1,0,0,0,0,0,0,0
2,F*,F1,0.06,0.072828566,0.116,0.06,0.06,0.13,0.06
3,Cl*,Cl1,0.24,0.076535213,0.229166667,0.23,0.23,0.229,0.23
4,Br*,Br1,0.24,0.185119248,0.294444444,0.23,0.22,0.314285714,0.23
5,I*,I1,0.21,0.04163332,0.23,0.21,0.21,0.238571429,0.18
6,*N(=O)=O,N1O2,0.78,2.113259094,1.464,0.78,0.78,1.921666667,0.78
7,*C#N,C1N1,0.7,0.035777088,0.68,0.685,0.7,0.6775,
8,C*,C1H3,-0.14,0.060572271,-0.141,-0.15,-0.14,-0.133333333,-0.17
9,CC*,C2H5,-0.15,0.150279739,-0.204,-0.15,-0.15,-0.2175,-0.15
10,CCC*,C3H7,-0.15,0.01496663,-0.154,-0.15,-0.15,-0.15,-0.13
11,CCCC*,C4H9,-0.16,0.014142136,-0.17,-0.16,-0.16,-0.175,-0.16
12,CCCCC*,C5H11,-0.15,0,-0.15,-0.15,-0.15,-0.15,-0.15
13,CCCCCC*,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
14,CCCCCCC*,C7H15,-0.15,0.005,-0.155,-0.155,,-0.155,-0.16
15,CCCCCCCC*,C8H17,-0.15,0,-0.15,-0.15,,-0.15,
16,CC(C)C*,C4H9,-0.19,0.035,-0.155,-0.155,,-0.155,-0.12
17,CC(C)CC*,C5H11,-0.15,0.04,-0.19,-0.19,,-0.19,-0.23
18,CC(C)(C)CC*,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
19,CC(C)CCC*,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
20,CC(C)(C)C*,C5H11,-0.12,0.023570226,-0.136666667,-0.12,-0.12,-0.145,-0.17
21,*CC1=CC=CC=C1,C7H7,-0.09,0.008291562,-0.0975,-0.095,-0.09,-0.1,-0.09
22,*CC1CCCCC1,C7H12,-0.15,0,-0.15,-0.15,,-0.15,
23,*CCC1=CC=CC=C1,C8H9,-0.12,0,-0.12,-0.12,-0.12,-0.12,-0.12
24,*CC1=CC=CO1,C5H5O1,-0.09,0,-0.09,-0.09,,-0.09,
25,*CC1=COC=C1,C5H5O1,-0.01,0,-0.01,-0.01,,-0.01,
26,*CC=C,C3H5,0.14,0.14,0,0,,0,-0.14
27,*CCC=C,C4H7,0,0,0,0,,0,
28,*C#C,C3H3,0.09,0,0.09,0.09,,0.09,
29,OC*,C1H3O1,0.01,0.027080128,0,0.005,0.01,-0.002,0
30,NOC*,C1H4N1O1,0.31,0,0.31,0.31,,0.31,
31,COC*,C1H5O1,0.03,0.00942809,0.023333333,0.03,0.03,0.02,0.01
32,CCOC*,C3H7O1,0.03,0,0.03,0.03,,0.03,
33,CC(=O)OC*,C3H5O2,0.05,0.004714045,0.053333333,0.05,0.05,0.055,0.05
34,COCC*,C3H7O1,-0.03,0,-0.03,-0.03,,-0.03,
35,CC(O)C*,C2H7O1,-0.17,0,-0.17,-0.17,-0.17,-0.17,-0.17
36,FC*,C1H2F1,0.1,0.004714045,0.103333333,0.1,0.1,0.105,0.11
37,ClC*,C1H2Cl1,0.12,0.050358713,0.148,0.12,0.12,0.155,0.12
38,BrC*,C1H2Br1,0.14,0.017853571,0.1225,0.125,0.14,0.116666667,0.14
39,IC*,C1H2I1,0.11,0.014142136,0.1,0.11,0.11,0.095,0.11
40,ClCC*,C2H4Cl1,0.02,0,0.02,0.02,,0.02,
41,ClCCC*,C3H6Cl1,-0.05,0,-0.05,-0.05,,-0.05,
42,FCCC*,C3H6F1,-0.05,0,-0.05,-0.05,,-0.05,
43,BrCC*,C2H4Br1,0.03,0,0.03,0.03,,0.03,
44,ICC*,C2H4I1,0.03,0,0.03,0.03,,0.03,
45,ClC(Cl)C*,C2H3Cl2,0.08,0,0.08,0.08,,0.08,
46,ClC(Cl)(Cl)C*,C2H2Cl3,0.14,0,0.14,0.14,,0.14,
47,FC(F)(F)C*,C2H2F3,0.14,0.023570226,0.123333333,0.14,0.14,0.115,0.09
48,*CC#N,C2H2N1,0.18,0.071195154,0.1325,0.17,0.18,0.116666667,0.18
49,*CCC#N,C3H4N1,0.1,0,0.1,0.1,,0.1,
50,NC*,C1H4N1,-0.11,0,-0.11,-0.11,-0.11,-0.11,-0.11
51,CN(C)C*,C3H8N1,0.01,0,0.01,0.01,0.01,0.01,0.01
52,CC(=O)NC*,C3H6N1O1,-0.05,6.94E-18,-0.05,-0.05,-0.05,-0.05,-0.05
53,*CN(=O)=O,C1H2N1O2,0.26,0,0.26,0.26,,0.26,
54,CN(C)CC*,C4H10N1,-0.09,0,-0.09,-0.09,-0.09,-0.09,-0.09
55,*COC1=CC=CC=C1,C7H7O1,0.07,0.00942809,0.063333333,0.07,0.07,0.06,0.07
56,SC*,C1H3S1,0.08,0,0.08,0.08,,0.08,
57,CSC*,C2H5S1,0.08,0,0.08,0.08,,0.08,
58,*CSC#N,C2H2N1S1,0.14,0,0.14,0.14,0.14,0.14,0.14
59,FC(F)(F)SC*,C2H2F3S1,0.15,0,0.15,0.15,0.15,0.15,0.15
60,CS(=O)C*,C2H5O1S1,0.1,0,0.1,0.1,,0.1,
61,CS(=O)(=O)C*,C2H5O2S1,0.1,0,0.1,0.1,,0.1,
62,[H]C(=O)C*,C2H3O1,0.01,0,0.01,0.01,,0.01,
63,OC(=O)C*,C2H3O2,-0.07,0,-0.07,-0.07,-0.07,-0.07,-0.07
64,CC(=O)C*,C3H5O1,-0.03,0,-0.03,-0.03,,-0.03,
65,COC(=O)C*,C3H5O2,0.07,0,0.07,0.07,,0.07,
66,NC(=O)C*,C2H4N1O1,0.07,2.420968585,3.023333333,3,,3.023333333,
67,OC(=O)CC*,C3H5O2,-0.07,0,-0.07,-0.07,-0.07,-0.07,-0.07
68,CC(=O)CC*,C4H7O1,-0.07,0,-0.07,-0.07,,-0.07,
69,CC(C)*,C3H7,-0.15,0.034186986,-0.1175,-0.125,-0.15,-0.106666667,-0.15
70,CCC(C)*,C4H9,-0.19,0.035,-0.155,-0.155,-0.19,-0.155,-0.12
71,CCCC(C)*,C5H11,-0.15,0.035,-0.185,-0.185,,-0.185,-0.22
72,CCCCC(C)*,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
73,CCCC(*)CC,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
74,CCC(*)C(C)C,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
75,CCCCC(*)CC,C7H15,-0.15,0,-0.15,-0.15,,-0.15,
76,CCC(*)CC(C)(C)C,C8H17,-0.15,0,-0.15,-0.15,,-0.15,
77,CCC(*)CC,C5H11,-0.15,0,-0.15,-0.15,,-0.15,
78,CCCC(*)CCC,C7H15,-0.15,0,-0.15,-0.15,,-0.15,
79,CC(C)C(*)C(C)C,C7H15,-0.15,0,-0.15,-0.15,,-0.15,
80,CC(C)C(*)C(C)(C)C,C8H17,-0.15,0,-0.15,-0.15,,-0.15,
81,CC(*)C(C)(C)C,C6H13,-0.15,0,-0.15,-0.15,,-0.15,
82,CC(*)CC(C)(C)C,C7H15,-0.15,0,-0.15,-0.15,,-0.15,
83,CCCCCCC(C)*,C9H11,-0.15,0,-0.15,-0.15,,-0.15,
84,CCCCC(*)CCCC,C9H19,-0.15,0,-0.15,-0.15,,-0.15,
85,CC(C)(C)C(*)C(C)(C)C,C9H19,-0.15,0,-0.15,-0.15,,-0.15,
86,CC(C)(C)CC(*)CC(C)(C)C,C11H23,-0.15,0,-0.15,-0.15,,-0.15,
87,CC(C)CC(*)CC(C)C,C9H19,-0.15,0,-0.15,-0.15,,-0.15,
88,CC(C)CC(*)CC(C)(C)C,C10H21,-0.15,0,-0.15,-0.15,,-0.15,
89,CC(*)C1=CC=CC=C1,C8H9,-0.12,0,-0.12,-0.12,,-0.12,
90,CCC(*)C1=CC=CC=C1,C9H11,-0.12,0,-0.12,-0.12,,-0.12,
91,*C(C1=CC=CC=C1)C1=CC=CC=C1,C13H11,-0.05,0.004714045,-0.046666667,-0.05,-0.05,-0.045,-0.05
92,CC(*)C=C,C4H7,-0.05,0,-0.05,-0.05,,-0.05,
93,CC(*)C#C,C4H5,-0.01,0,-0.01,-0.01,,-0.01,
94,*C(C#N)C#N,C3H1N2,0.52,0,0.52,0.52,0.52,0.52,0.52
95,FC(F)*,C1H1F2,0.35,0.014142136,0.34,0.35,0.35,0.335,0.32
96,ClC(Cl)*,C1H1Cl2,0.32,0.078421936,0.31,0.32,0.32,0.306666667,0.32
97,BrC(Br)*,C1H1Br2,0.32,0,0.32,0.32,0.32,0.32,0.32
98,IC(I)*,C1H1I2,0.26,0,0.26,0.26,0.26,0.26,
99,CC(Cl)*,C2H4Cl1,0.12,0,0.12,0.12,,0.12,
100,CC(Br)*,C2H4Br1,0.14,0,0.14,0.14,,0.14,
101,CC(I)*,C2H4I1,0.14,0,0.14,0.14,,0.14,
102,FCC(F)*,C2H3F2,0.13,0,0.13,0.13,,0.13,
103,CC(O)*,C2H5O1,-0.07,0.032998316,-0.093333333,-0.07,-0.07,-0.105,-0.07
104,CCC(O)*,C3H7O1,-0.16,0,-0.16,-0.16,-0.16,-0.16,-0.16
105,CCCC(O)*,C4H9O1,-0.16,0,-0.16,-0.16,,-0.16,
106,CC(C)(C)C(O)*,C5H11O1,-0.16,0,-0.16,-0.16,,-0.16,
107,OC(*)C1=CC=CC=C1,C7H7O1,0.03,0.03,0,0,,0,-0.03
