no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
1,*[H],H1,0,0,0,0,0,0,0
2,F*,F1,2.72,0.650796435,2.358,2.7,2.72,2.2675,2.7
3,Cl*,Cl1,2.47,0.122440462,2.355,2.405,2.47,2.3675,2.45
4,Br*,Br1,2.35,0.081584312,2.288,2.31,2.35,2.2725,2.31
5,I*,I1,1.97,0.087635609,1.89,1.89,1.97,1.863333333,1.73
6,*N(=O)=O,N1O2,3.76,0.193275854,3.896666667,3.76,3.76,3.965,4.17
7,*C#N,C1N1,2.81,0.192093727,3,2.98,2.81,3.063333333,3.15
8,C*,C1H3,-0.49,0,-0.49,-0.49,-0.49,-0.49,
9,CC*,C2H5,-0.49,0.04330127,-0.565,-0.59,-0.59,-0.54,-0.59
10,CCC*,C3H7,-0.49,0.114891253,-0.63,-0.61,-0.61,-0.636666667,-0.61
11,CCCC*,C4H9,-0.49,0.07909488,-0.618,-0.62,-0.62,-0.616666667,-0.62
12,CCCCC*,C5H11,-0.49,0.135440024,-0.566,-0.63,,-0.566,
13,CCCCCC*,C6H13,-0.49,0.098914104,-0.604,-0.64,-0.49,-0.6325,-0.66
14,CCCCCCC*,C7H15,-0.49,0.131600722,-0.6625,-0.65,,-0.6625,
15,CCCCCCCC*,C8H17,-0.64,0.064951905,-0.6025,-0.64,-0.64,-0.565,-0.64
16,CC(C)C*,C4H9,-0.49,0.077580603,-0.6175,-0.65,-0.68,-0.596666667,-0.62
17,CC(C)CC*,C5H11,-0.49,0.08,-0.57,-0.57,,-0.57,-0.65
18,CC(C)(C)CC*,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
19,CC(C)CCC*,C6H13,-0.49,0,-0.49,-0.49,,-0.49,
20,CC(C)(C)C*,C5H11,-0.49,0.617135317,-0.298,-0.61,-0.66,-0.2075,-0.66
21,*CC1=CC=CC=C1,C7H7,-0.22,0.022325714,-0.25625,-0.265,-0.27,-0.251666667,
22,*CC1CCCCC1,C7H12,-0.49,0.106883114,-0.596,-0.55,-0.55,-0.6075,-0.55
23,*CCC1=CC=CC=C1,C8H9,-0.41,0.065996633,-0.456666667,-0.41,-0.41,-0.48,-0.41
24,*C1=CC=CO1,C4H3O1,0.1,0,0.1,0.1,,0.1,
25,*C1=COC=C1,C4H3O1,0.1,0,0.1,0.1,,0.1,
26,*CC=C,C3H5,-0.26,0.086116201,-0.328,-0.3,-0.26,-0.345,-0.37
27,*CCC=C,C4H7,-0.49,0,-0.49,-0.49,,-0.49,
28,*C#C,C3H3,0.32,0.099442893,0.226666667,0.27,0.27,0.218,0.27
29,OC*,C1H3O1,0.13,0.038861344,0.074285714,0.07,0.13,0.064,0.07
30,NOC*,C1H4N1O1,1.19,0,1.19,1.19,,1.19,
31,COC*,C1H5O1,0.17,0.063342284,0.128571429,0.16,0.03,0.145,0.03
32,CCOC*,C3H7O1,0.09,0.03344772,0.0675,0.085,0.09,0.06,0.09
33,CC(=O)OC*,C3H5O2,0.51,0.101885011,0.418333333,0.44,0.51,0.4,0.21
34,COCC*,C3H7O1,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25
35,CC(O)C*,C2H7O1,-0.55,0.103708995,-0.476666667,-0.55,-0.55,-0.44,-0.33
36,FC*,C1H2F1,0.61,0.051961524,0.64,0.61,0.61,0.65,0.61
